subset,n_bands,parameter,rmse,r_squared,relative_rmse_pct
5-band multispectral (no SWIR),5,N,0.4067554851061781,0.11764338704734445,27.11703234041187
5-band multispectral (no SWIR),5,Cab,7.1973403510724,0.9028593056410623,8.996675438840501
5-band multispectral (no SWIR),5,Car,7.680460579030367,-0.7695844427892926,38.402302895151834
5-band multispectral (no SWIR),5,Ant,1.920930940633906,0.5576259179438245,19.20930940633906
5-band multispectral (no SWIR),5,Cw,0.01948046087252224,-0.9758227540742546,40.58429348442133
5-band multispectral (no SWIR),5,Cm,0.004438139935587337,0.269372239942681,24.6563329754852
5-band multispectral (no SWIR),5,LAI,1.5097189525229882,0.09613571960721912,27.449435500417966
+ SWIR window ±50 nm,45,N,0.43694217045122274,-0.018181570773565747,29.129478030081515
+ SWIR window ±50 nm,45,Cab,9.068309853752817,0.8457909630349905,11.33538731719102
+ SWIR window ±50 nm,45,Car,8.468613943444883,-1.1514013321602463,42.34306971722442
+ SWIR window ±50 nm,45,Ant,2.8506793861859765,0.02576680907621398,28.506793861859762
+ SWIR window ±50 nm,45,Cw,0.0056384401482263416,0.8344735208073004,11.746750308804877
+ SWIR window ±50 nm,45,Cm,0.003429325788766483,0.5637738694126135,19.05180993759157
+ SWIR window ±50 nm,45,LAI,1.2477368453033035,0.38261366957459286,22.686124460060064
+ SWIR window ±100 nm,85,N,0.35963435056261556,0.310237400461274,23.975623370841035
+ SWIR window ±100 nm,85,Cab,8.857886487514758,0.8528645424817427,11.072358109393447
+ SWIR window ±100 nm,85,Car,8.227223224512041,-1.0305015463718141,41.13611612256021
+ SWIR window ±100 nm,85,Ant,3.109568798626383,-0.15922172241887123,31.09568798626383
+ SWIR window ±100 nm,85,Cw,0.0038794800797781184,0.9216396115156227,8.082250166204412
+ SWIR window ±100 nm,85,Cm,0.002706240665564395,0.7283391735800133,15.034670364246637
+ SWIR window ±100 nm,85,LAI,1.1196560291033313,0.5028582281507619,20.357382347333296
+ SWIR window ±150 nm,125,N,0.3681176658129661,0.27731235886473793,24.541177720864408
+ SWIR window ±150 nm,125,Cab,10.528929502638785,0.7921138489047099,13.161161878298481
+ SWIR window ±150 nm,125,Car,8.16061590365349,-0.9977568912865367,40.803079518267445
+ SWIR window ±150 nm,125,Ant,3.229932491532751,-0.2506997452431421,32.29932491532752
+ SWIR window ±150 nm,125,Cw,0.004115840387174093,0.9118004078599006,8.57466747327936
+ SWIR window ±150 nm,125,Cm,0.0026068907050270256,0.7479191623905714,14.48272613903903
+ SWIR window ±150 nm,125,LAI,1.1509415966118695,0.474687684617351,20.926210847488537
+ SWIR window ±200 nm,165,N,0.351820487891299,0.33988506037059374,23.454699192753267
+ SWIR window ±200 nm,165,Cab,11.14266028043346,0.7671721634771538,13.928325350541826
+ SWIR window ±200 nm,165,Car,8.260438653356728,-1.0469299626640107,41.30219326678364
+ SWIR window ±200 nm,165,Ant,3.196689618043009,-0.22508750944702283,31.966896180430087
+ SWIR window ±200 nm,165,Cw,0.003894377576510556,0.9210366363700692,8.113286617730324
+ SWIR window ±200 nm,165,Cm,0.002259255191370896,0.8106676768322733,12.55141772983831
+ SWIR window ±200 nm,165,LAI,1.0602928379940066,0.5541767992396658,19.27805159989103
Full hyperspectral (valid bands),366,N,0.3950747260394301,0.167592846210745,26.338315069295344
Full hyperspectral (valid bands),366,Cab,8.764416391626977,0.8559533615696338,10.955520489533722
Full hyperspectral (valid bands),366,Car,6.986287911503209,-0.4641639897291119,34.93143955751604
Full hyperspectral (valid bands),366,Ant,2.8245109379041278,0.04357109550393645,28.245109379041274
Full hyperspectral (valid bands),366,Cw,0.005002805222979466,0.8696903083387921,10.422510881207222
Full hyperspectral (valid bands),366,Cm,0.0029256543708669246,0.6825025636533906,16.253635393705135
Full hyperspectral (valid bands),366,LAI,1.1345079372783717,0.4895818758474587,20.62741704142494
