n_lut,subset,n_bands,parameter,rmse,r_squared,relative_rmse_pct
8000,5-band multispectral (no SWIR),5,N,0.4067554851061781,0.11764338704734445,27.11703234041187
8000,5-band multispectral (no SWIR),5,Cab,7.1973403510724,0.9028593056410623,8.996675438840501
8000,5-band multispectral (no SWIR),5,Car,7.680460579030367,-0.7695844427892926,38.402302895151834
8000,5-band multispectral (no SWIR),5,Ant,1.920930940633906,0.5576259179438245,19.20930940633906
8000,5-band multispectral (no SWIR),5,Cw,0.01948046087252224,-0.9758227540742546,40.58429348442133
8000,5-band multispectral (no SWIR),5,Cm,0.004438139935587337,0.269372239942681,24.6563329754852
8000,5-band multispectral (no SWIR),5,LAI,1.5097189525229882,0.09613571960721912,27.449435500417966
8000,+ SWIR window ±50 nm,45,N,0.43694217045122274,-0.018181570773565747,29.129478030081515
8000,+ SWIR window ±50 nm,45,Cab,9.068309853752817,0.8457909630349905,11.33538731719102
8000,+ SWIR window ±50 nm,45,Car,8.468613943444883,-1.1514013321602463,42.34306971722442
8000,+ SWIR window ±50 nm,45,Ant,2.8506793861859765,0.02576680907621398,28.506793861859762
8000,+ SWIR window ±50 nm,45,Cw,0.0056384401482263416,0.8344735208073004,11.746750308804877
8000,+ SWIR window ±50 nm,45,Cm,0.003429325788766483,0.5637738694126135,19.05180993759157
8000,+ SWIR window ±50 nm,45,LAI,1.2477368453033035,0.38261366957459286,22.686124460060064
8000,+ SWIR window ±100 nm,85,N,0.35963435056261556,0.310237400461274,23.975623370841035
8000,+ SWIR window ±100 nm,85,Cab,8.857886487514758,0.8528645424817427,11.072358109393447
8000,+ SWIR window ±100 nm,85,Car,8.227223224512041,-1.0305015463718141,41.13611612256021
8000,+ SWIR window ±100 nm,85,Ant,3.109568798626383,-0.15922172241887123,31.09568798626383
8000,+ SWIR window ±100 nm,85,Cw,0.0038794800797781184,0.9216396115156227,8.082250166204412
8000,+ SWIR window ±100 nm,85,Cm,0.002706240665564395,0.7283391735800133,15.034670364246637
8000,+ SWIR window ±100 nm,85,LAI,1.1196560291033313,0.5028582281507619,20.357382347333296
8000,+ SWIR window ±150 nm,125,N,0.3681176658129661,0.27731235886473793,24.541177720864408
8000,+ SWIR window ±150 nm,125,Cab,10.528929502638785,0.7921138489047099,13.161161878298481
8000,+ SWIR window ±150 nm,125,Car,8.16061590365349,-0.9977568912865367,40.803079518267445
8000,+ SWIR window ±150 nm,125,Ant,3.229932491532751,-0.2506997452431421,32.29932491532752
8000,+ SWIR window ±150 nm,125,Cw,0.004115840387174093,0.9118004078599006,8.57466747327936
8000,+ SWIR window ±150 nm,125,Cm,0.0026068907050270256,0.7479191623905714,14.48272613903903
8000,+ SWIR window ±150 nm,125,LAI,1.1509415966118695,0.474687684617351,20.926210847488537
8000,+ SWIR window ±200 nm,165,N,0.351820487891299,0.33988506037059374,23.454699192753267
8000,+ SWIR window ±200 nm,165,Cab,11.14266028043346,0.7671721634771538,13.928325350541826
8000,+ SWIR window ±200 nm,165,Car,8.260438653356728,-1.0469299626640107,41.30219326678364
8000,+ SWIR window ±200 nm,165,Ant,3.196689618043009,-0.22508750944702283,31.966896180430087
8000,+ SWIR window ±200 nm,165,Cw,0.003894377576510556,0.9210366363700692,8.113286617730324
8000,+ SWIR window ±200 nm,165,Cm,0.002259255191370896,0.8106676768322733,12.55141772983831
8000,+ SWIR window ±200 nm,165,LAI,1.0602928379940066,0.5541767992396658,19.27805159989103
8000,Full hyperspectral (valid bands),366,N,0.3950747260394301,0.167592846210745,26.338315069295344
8000,Full hyperspectral (valid bands),366,Cab,8.764416391626977,0.8559533615696338,10.955520489533722
8000,Full hyperspectral (valid bands),366,Car,6.986287911503209,-0.4641639897291119,34.93143955751604
8000,Full hyperspectral (valid bands),366,Ant,2.8245109379041278,0.04357109550393645,28.245109379041274
8000,Full hyperspectral (valid bands),366,Cw,0.005002805222979466,0.8696903083387921,10.422510881207222
8000,Full hyperspectral (valid bands),366,Cm,0.0029256543708669246,0.6825025636533906,16.253635393705135
8000,Full hyperspectral (valid bands),366,LAI,1.1345079372783717,0.4895818758474587,20.62741704142494
32000,5-band multispectral (no SWIR),5,N,0.43856208923091355,-0.025745175287184896,29.23747261539424
32000,5-band multispectral (no SWIR),5,Cab,7.090137550073871,0.9057315330836461,8.862671937592339
32000,5-band multispectral (no SWIR),5,Car,8.006941110446522,-0.9232247152172572,40.03470555223261
32000,5-band multispectral (no SWIR),5,Ant,2.121029873628567,0.4606635880693025,21.21029873628567
32000,5-band multispectral (no SWIR),5,Cw,0.01896198186083445,-0.8720480067335299,39.50412887673844
32000,5-band multispectral (no SWIR),5,Cm,0.004482082202273456,0.2548326448831688,24.900456679296973
32000,5-band multispectral (no SWIR),5,LAI,1.5044362450375577,0.10245013550973325,27.353386273410138
32000,+ SWIR window ±50 nm,45,N,0.4143169726038267,0.08453286476076638,27.62113150692178
32000,+ SWIR window ±50 nm,45,Cab,7.634028827104143,0.8907139538261292,9.542536033880179
32000,+ SWIR window ±50 nm,45,Car,8.101249591700542,-0.9687963151640198,40.50624795850271
32000,+ SWIR window ±50 nm,45,Ant,2.388072133447118,0.31630712737093825,23.880721334471183
32000,+ SWIR window ±50 nm,45,Cw,0.0055743323960349995,0.8382161180206209,11.613192491739584
32000,+ SWIR window ±50 nm,45,Cm,0.0033173860919218233,0.5917875696050628,18.429922732899016
32000,+ SWIR window ±50 nm,45,LAI,1.1462464331665319,0.47896487192749915,20.84084423939149
32000,+ SWIR window ±100 nm,85,N,0.3016648036066227,0.5146817830592056,20.110986907108177
32000,+ SWIR window ±100 nm,85,Cab,7.992979140185588,0.8801951272988271,9.991223925231985
32000,+ SWIR window ±100 nm,85,Car,8.140924178384761,-0.988127270900967,40.7046208919238
32000,+ SWIR window ±100 nm,85,Ant,2.8420045442346646,0.031687124058801364,28.420045442346645
32000,+ SWIR window ±100 nm,85,Cw,0.0036914040198329297,0.9290532199449489,7.690425041318603
32000,+ SWIR window ±100 nm,85,Cm,0.0023869955899216222,0.7886523518853383,13.261086610675678
32000,+ SWIR window ±100 nm,85,LAI,1.048131173741641,0.5643454181828476,19.0569304316662
32000,+ SWIR window ±150 nm,125,N,0.29812964680815607,0.5259898516238739,19.875309787210405
32000,+ SWIR window ±150 nm,125,Cab,8.695452433098746,0.8582113425606444,10.869315541373432
32000,+ SWIR window ±150 nm,125,Car,8.035588771779596,-0.9370113665879467,40.177943858897976
32000,+ SWIR window ±150 nm,125,Ant,2.831083935695648,0.03911445144629888,28.31083935695648
32000,+ SWIR window ±150 nm,125,Cw,0.0033146177341226812,0.9427973133007087,6.9054536127555854
32000,+ SWIR window ±150 nm,125,Cm,0.002070816463342699,0.8409339838602021,11.504535907459438
32000,+ SWIR window ±150 nm,125,LAI,0.9712054645576728,0.6259469119714964,17.65828117377587
32000,+ SWIR window ±200 nm,165,N,0.3005292688960212,0.5183286019781286,20.03528459306808
32000,+ SWIR window ±200 nm,165,Cab,10.02323395982405,0.8116034878706043,12.529042449780063
32000,+ SWIR window ±200 nm,165,Car,7.9741928269635585,-0.9075249594918877,39.87096413481779
32000,+ SWIR window ±200 nm,165,Ant,3.0598214503917043,-0.1224276084442184,30.598214503917042
32000,+ SWIR window ±200 nm,165,Cw,0.00319768542934718,0.946762089226549,6.661844644473291
32000,+ SWIR window ±200 nm,165,Cm,0.001787389175323626,0.8814961573952342,9.929939862909032
32000,+ SWIR window ±200 nm,165,LAI,0.9881983570382504,0.612743010648342,17.96724285524092
32000,Full hyperspectral (valid bands),366,N,0.36030537285278735,0.30766101765340437,24.02035819018582
32000,Full hyperspectral (valid bands),366,Cab,6.599223115780792,0.9183337250385953,8.24902889472599
32000,Full hyperspectral (valid bands),366,Car,6.416384178559913,-0.2350299264250164,32.081920892799566
32000,Full hyperspectral (valid bands),366,Ant,2.5210880824670707,0.23802239086274735,25.210880824670706
32000,Full hyperspectral (valid bands),366,Cw,0.004371234736776793,0.9005149584310606,9.106739034951651
32000,Full hyperspectral (valid bands),366,Cm,0.0025141485266075864,0.7655360661506112,13.96749181448659
32000,Full hyperspectral (valid bands),366,LAI,1.0621447092195113,0.5526181201348768,19.311721985809296
128000,5-band multispectral (no SWIR),5,N,0.4105446085090764,0.10112766342021973,27.369640567271762
128000,5-band multispectral (no SWIR),5,Cab,6.899562581316138,0.9107310884894063,8.624453226645173
128000,5-band multispectral (no SWIR),5,Car,7.632036774058371,-0.7473410156772127,38.16018387029186
128000,5-band multispectral (no SWIR),5,Ant,2.0087985062667264,0.5162300096205854,20.087985062667265
128000,5-band multispectral (no SWIR),5,Cw,0.01979439695019262,-1.040018371087688,41.23832697956796
128000,5-band multispectral (no SWIR),5,Cm,0.0044840899891676,0.254164887226917,24.91161105093111
128000,5-band multispectral (no SWIR),5,LAI,1.5085627312816356,0.0975196419527663,27.42841329602974
128000,+ SWIR window ±50 nm,45,N,0.38799073136919304,0.1971766219226584,25.866048757946203
128000,+ SWIR window ±50 nm,45,Cab,6.958747065543879,0.9091930215008581,8.698433831929849
128000,+ SWIR window ±50 nm,45,Car,8.047323312698056,-0.9426728150002974,40.23661656349028
128000,+ SWIR window ±50 nm,45,Ant,2.246167577138735,0.39514610890200996,22.46167577138735
128000,+ SWIR window ±50 nm,45,Cw,0.004936504020516536,0.873121359042709,10.284383376076116
128000,+ SWIR window ±50 nm,45,Cm,0.0030133903003835326,0.6631745039016861,16.741057224352957
128000,+ SWIR window ±50 nm,45,LAI,1.1686922102132808,0.4583592778919109,21.248949276605106
128000,+ SWIR window ±100 nm,85,N,0.2879297864211261,0.557869476079675,19.195319094741738
128000,+ SWIR window ±100 nm,85,Cab,6.085449688317299,0.9305547612465124,7.606812110396623
128000,+ SWIR window ±100 nm,85,Car,7.809666938140437,-0.8296237461412761,39.04833469070219
128000,+ SWIR window ±100 nm,85,Ant,2.2889649309086306,0.3718773581084742,22.889649309086305
128000,+ SWIR window ±100 nm,85,Cw,0.0033409589982504274,0.9418845212781118,6.960331246355056
128000,+ SWIR window ±100 nm,85,Cm,0.0020016741904393077,0.8513787310924592,11.120412169107263
128000,+ SWIR window ±100 nm,85,LAI,0.9900177503928073,0.6113157235252491,18.000322734414677
128000,+ SWIR window ±150 nm,125,N,0.2571383281589195,0.6473767527044694,17.142555210594633
128000,+ SWIR window ±150 nm,125,Cab,5.988043499920698,0.9327601066237531,7.485054374900872
128000,+ SWIR window ±150 nm,125,Car,7.806263869787894,-0.8280295736492067,39.03131934893947
128000,+ SWIR window ±150 nm,125,Ant,2.474672832993365,0.26582134812308156,24.74672832993365
128000,+ SWIR window ±150 nm,125,Cw,0.002923778485574182,0.9554919609825793,6.091205178279546
128000,+ SWIR window ±150 nm,125,Cm,0.0015769408377362042,0.9077587910401059,8.760782431867801
128000,+ SWIR window ±150 nm,125,LAI,0.8925337800931377,0.6840922111021492,16.22788691078432
128000,+ SWIR window ±200 nm,165,N,0.2658198257007222,0.6231642939387426,17.72132171338148
128000,+ SWIR window ±200 nm,165,Cab,6.441582487010621,0.9221887722612443,8.051978108763276
128000,+ SWIR window ±200 nm,165,Car,7.570267949526488,-0.7191717495370542,37.85133974763244
128000,+ SWIR window ±200 nm,165,Ant,2.3810829015183095,0.32030323395943505,23.810829015183096
128000,+ SWIR window ±200 nm,165,Cw,0.002991936812512096,0.9533926551412717,6.233201692733533
128000,+ SWIR window ±200 nm,165,Cm,0.001469984610860748,0.9198470035991133,8.166581171448598
128000,+ SWIR window ±200 nm,165,LAI,0.829244129731024,0.7273058499282951,15.077165995109528
128000,Full hyperspectral (valid bands),366,N,0.29276355492984085,0.542899882730824,19.517570328656056
128000,Full hyperspectral (valid bands),366,Cab,5.320883889276045,0.9469085377518032,6.651104861595056
128000,Full hyperspectral (valid bands),366,Car,5.661103749491299,0.0386113490923391,28.305518747456496
128000,Full hyperspectral (valid bands),366,Ant,2.0520403375330547,0.4951783662932615,20.52040337533055
128000,Full hyperspectral (valid bands),366,Cw,0.003428599773189153,0.9387955341396554,7.142916194144069
128000,Full hyperspectral (valid bands),366,Cm,0.002188760599138964,0.8222986568383412,12.159781106327575
128000,Full hyperspectral (valid bands),366,LAI,0.9678628088987634,0.6285172826051711,17.597505616341152
