n_lut,parameter,rmse,r_squared,relative_rmse_pct
8000,N,0.3950747260394301,0.167592846210745,26.338315069295344
8000,Cab,8.764416391626977,0.8559533615696338,10.955520489533722
8000,Car,6.986287911503209,-0.4641639897291119,34.93143955751604
8000,Ant,2.8245109379041278,0.04357109550393645,28.245109379041274
8000,Cw,0.005002805222979466,0.8696903083387921,10.422510881207222
8000,Cm,0.0029256543708669246,0.6825025636533906,16.253635393705135
8000,LAI,1.1345079372783717,0.4895818758474587,20.62741704142494
32000,N,0.36030537285278735,0.30766101765340437,24.02035819018582
32000,Cab,6.599223115780792,0.9183337250385953,8.24902889472599
32000,Car,6.416384178559913,-0.2350299264250164,32.081920892799566
32000,Ant,2.5210880824670707,0.23802239086274735,25.210880824670706
32000,Cw,0.004371234736776793,0.9005149584310606,9.106739034951651
32000,Cm,0.0025141485266075864,0.7655360661506112,13.96749181448659
32000,LAI,1.0621447092195113,0.5526181201348768,19.311721985809296
128000,N,0.29276355492984085,0.542899882730824,19.517570328656056
128000,Cab,5.320883889276045,0.9469085377518032,6.651104861595056
128000,Car,5.661103749491299,0.0386113490923391,28.305518747456496
128000,Ant,2.0520403375330547,0.4951783662932615,20.52040337533055
128000,Cw,0.003428599773189153,0.9387955341396554,7.142916194144069
128000,Cm,0.002188760599138964,0.8222986568383412,12.159781106327575
128000,LAI,0.9678628088987634,0.6285172826051711,17.597505616341152
